index_acm,index_dblp
2350,2063
2890,1519
636,1293
780,520
718,1628
797,1921
1903,2017
1409,1216
1638,810
1548,99
2038,1424
1336,1906
2258,1427
391,186
989,1798
1844,1329
94,1885
2389,1883
629,997
2408,1078
962,1291
2734,1248
2813,80
1588,1753
543,1344
2535,1304
1929,1494
2640,1091
2870,1782
889,934
2238,559
812,421
2699,99
1647,468
2726,498
926,708
961,931
1566,287
1483,518
2691,396
903,1892
2563,1379
1973,116
2072,1815
7,559
1994,175
1856,699
2336,1336
1548,354
1253,177
2337,514
1803,2041
2522,1728
1253,1345
2502,1261
2850,281
2754,1741
183,2074
195,1145
1556,70
1977,63
2205,1913
2159,225
1285,1189
2551,1274
1019,252
1279,1374
410,925
1330,1834
827,1479
2699,354
1988,1282
1360,1713
372,1838
2383,1811
2152,1649
2134,1228
2523,249
2367,1170
2265,893
2770,1294
2202,544
1233,682
2290,1825
447,1207
1168,738
181,1465
1662,1475
940,1490
2032,1193
497,920
2425,1124
1413,626
449,1108
1180,1327
1624,846
1548,33
2699,609
1694,1319
383,525
2367,486
884,403
163,643
166,123
2339,424
2807,263
1929,31
1158,642
397,1749
2310,891
2840,827
1102,1915
2395,1379
2699,33
1742,1494
2315,1090
1938,1140
1798,571
2165,1038
2353,1503
2034,1494
2770,1791
2341,1385
1888,622
2700,500
358,198
1663,1177
97,1325
397,1294
2385,1549
1006,1294
2134,1149
1711,63
2208,869
647,1361
2713,1270
2710,1201
2322,567
1312,438
1588,1016
505,86
1847,947
2824,175
214,287
1681,133
2223,187
1735,2059
2062,993
2364,806
2180,231
349,862
1830,606
1408,388
532,1737
1879,10
34,743
189,351
1492,732
2132,1358
1860,899
532,1858
2622,175
1815,1772
2580,1117
2547,1169
420,526
2092,1528
812,2033
1127,1142
397,1791
1279,1913
658,1337
1309,1792
1231,152
2619,1166
723,685
2771,1937
2000,1831
1537,609
2738,1531
2165,1898
1951,1380
878,643
1285,1741
2205,1189
2727,1234
1772,1270
1335,1269
2386,446
462,886
1808,1903
39,1426
1955,610
773,1687
1467,526
16,1186
1774,1208
1595,977
787,1706
432,1249
109,1764
2437,1673
366,1834
2787,739
2191,1617
2079,1147
2829,1379
2238,911
1856,351
1897,123
1300,1530
911,294
2845,47
1688,1117
1180,1879
455,428
751,1244
565,559
1580,308
2094,758
2053,1925
2391,1395
460,893
684,143
1830,1358
928,503
2421,1274
2,1506
1827,535
139,1740
1674,1461
2151,1571
2445,705
547,1319
1937,1174
1321,1844
456,1285
785,1497
477,1344
2340,1419
